GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
#	150201A	13:46:59	11.820	-37.620	1.7	26.1	7.8	1.2	n/a	n/a
150120B	07:21:55	39.309	8.064	2.3	24.30	5.4	0.8	1.2	0.2
150120A	02:57:46	10.330	33.980	1.5	1.20	1.4	0.2	1.8	0.2
150110B	22:08:30	289.374	32.529	1.2	10.6	4.9	0.4	1.4	0.2
150103A	20:02:18	131.674	-48.896	2.0	49.1	8.2	1.3	0.5	0.2
#	150101B	15:23:00	188.044	-10.956	2.5	0.018	0.23	0.06	n/a	n/a
150101A	06:28:53	312.599	36.669	2.5	0.060	0.23	0.05	0.3	0.1
#	141229A	11:49:02	n/a	n/a	n/a	7	15	3	1.2	0.5
141225A	23:01:07	138.754	33.774	2.2	40.24	25	2	1.3	0.4
141221A	08:07:10	198.283	8.197	1.1	36.9	21	1	3.1	0.2
141220A	06:02:52	195.058	32.146	1.2	7.21	26	1	8.9	0.7
141212B	13:23:48	250.866	31.749	1.0	10.5	12	1	3.9	0.3
141212A	12:14:01	39.167	18.163	1.9	0.30	0.72	0.12	1.2	0.2
#	141205A	08:05:17	92.859	37.876	2	1.1	1.2	0.3	n/a	n/a
141130A	23:10:56	222.804	47.323	1.4	62.9	28	1	1.2	0.2
141121A	03:50:43	122.665	22.206	2.1	549.9	53	4	0.9	0.3
141109B	07:47:39	222.453	73.141	2.6	54.2	6.3	0.9	0.4	0.1
141109A	05:49:55	144.563	-0.581	3.0	200	68	3	2.5	0.2
#	141102A	12:51:40	208.614	-47.100	4	2.5	n/a	n/a	n/a	n/a
141031B	14:56:45	356.883	41.355	2.2	16.0	2.5	0.5	0.3	0.1
141031A	07:18:26	128.632	-59.160	1.4	920	29	5	0.5	0.2
141026A	02:36:51	44.049	26.925	1.9	146	13	1	0.4	0.2
141022A	01:27:42	241.930	-72.152	2.2	8.72	4.8	0.7	0.9	0.3
141020A	07:48:39	225.054	55.328	1.7	15.55	4.6	0.6	0.7	0.2
141017A	18:25:28	93.601	-58.596	2.1	55.7	31	1	6.7	0.3
141015A	09:12:59	87.535	18.370	2.2	11.0	1.6	0.4	0.5	0.1
141005A	05:13:06	291.103	36.098	1.7	4.34	11	1	4.2	0.8
141004A	23:20:54	76.721	12.828	1.0	3.92	6.7	0.3	6.1	0.3
140930B	19:41:42	6.360	24.298	1.6	0.84	4.2	0.4	4.0	0.4
140927A	05:15:11	291.802	-65.400	2.2	6.26	2.7	0.5	0.9	0.2
140919A	15:15:15	221.540	-32.153	1.5	151.3	59	4	2.0	0.5
140916A	10:43:47	40.384	-39.688	2.4	80.1	17	3	1.3	0.4
#	140909A	06:56:51	193.638	63.494	n/a	n/a	n/a	n/a	n/a	n/a
140907A	16:07:08	48.133	46.596	1.4	79.2	43	2	2.5	0.2
140903A	15:00:30	238.021	27.608	1.0	0.30	1.4	0.1	2.5	0.2
#	140901B	06:17:24	112.184	-29.209	2.0	10	9.5	1.3	n/a	n/a
140828A	06:54:14	142.029	14.569	1.3	18.8	13	1	2.2	0.3
140824A	08:40:28	206.627	33.285	1.7	3.09	1.9	0.2	1.2	0.2
140818B	18:44:16	271.168	-1.354	2.1	18.1	5.4	0.8	1.1	0.3
140817A	07:02:01	127.244	58.191	1.0	244	46	2	7.2	0.3
140730A	19:43:51	56.350	-66.580	2.1	41.3	2.8	0.5	0.5	0.1
140719B	20:49:35.68	39.731	-2.384	1.7	53.0	13	1	0.7	0.2
140719A	05:53:55.2	171.571	-50.115	2.4	48	4.3	0.8	0.2	0.1
140716A	10:27:57.3	108.133	-60.150	1.5	104	59	12	5.2	1.5
140713A	18:43:45	281.141	59.623	1.2	5.30	3.7	0.3	1.9	0.2
140710A	10:16:40	41.088	35.499	1.8	3.52	2.3	0.3	1.9	0.3
140709B	15:15:45	146.040	63.536	1.1	155.0	42	2	0.9	0.1
