GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
060421	00:39:23	343.629	62.730	1.0	12.200	12.50	0.57	2.94	0.18
060418	03:06:08	236.431	-3.640	1.0	103.100	83.30	2.53	6.52	0.35
060413	18:40:23	291.287	13.746	1.9	147.700	35.60	1.47	0.93	0.12
060403	13:12:17	282.338	8.327	1.0	30.100	13.50	0.73	0.95	0.13
060323	14:32:36	174.421	50.000	1.4	25.400	6.22	0.67	0.78	0.15
060322	23:00:21	274.230	-36.710	1.1	221.500	52.20	2.56	2.08	0.20
060319	00:55:43	176.379	60.038	2.0	10.600	2.64	0.34	1.09	0.14
060313	00:12:06	66.625	-10.858	1.0	0.740	11.30	0.45	12.10	0.45
060312	01:36:13	45.780	12.827	1.0	50.600	19.70	0.91	1.53	0.14
060306	00:49:11	41.097	-2.163	1.0	61.200	21.30	1.18	5.97	0.35
060223B	19:41:05	254.238	-30.812	1.0	10.300	16.00	0.56	2.87	0.20
060223A	06:04:24	55.186	-17.134	1.2	11.300	6.73	0.48	1.35	0.18
060219	22:48:05	241.851	32.309	2.1	62.100	4.28	0.80	0.56	0.17
#	060218	03:34:31	50.380	16.910	2.5	~2100	15.70	1.52	0.25	0.11
060218	03:34:31	50.380	16.910	2.5	2100	15.70	1.52	0.25	0.11
060211B	15:55:15	75.085	14.959	1.8	27.700	4.38	0.59	0.73	0.13
060211A	09:39:11	58.381	21.489	1.5	126.300	15.70	1.37	0.42	0.12
060210	04:58:50	57.727	27.015	1.0	255.000	76.60	4.09	2.72	0.28
060206	04:46:53	202.933	35.046	1.0	7.600	8.31	0.42	2.79	0.17
060204B	14:34:24	211.805	27.675	1.0	139.400	29.50	1.78	1.35	0.15
060203	23:55:35	103.463	71.841	1.8	68.200	8.98	1.28	0.60	0.19
060202	08:40:55	35.809	38.377	2.1	198.900	21.30	1.65	0.51	0.17
#	060124	15:54:52	77.097	69.727	1.6	~750	4.61	0.53	0.89	0.18
060124	15:54:52	77.097	69.727	1.6	750	4.61	0.53	0.89	0.18
#	060123	22:22:40	179.750	45.513	n/a	900	3.0	n/a	0.04	n/a
060117	06:50:02	327.912	-59.982	1.0	16.900	202.00	3.71	48.30	1.56
060116	08:37:27	84.698	-5.438	1.7	105.900	24.10	2.61	1.11	0.32
060115	13:08:01	54.007	17.339	2.0	139.600	17.10	1.50	0.87	0.12
060111B	20:15:43	286.456	70.380	1.5	58.800	16.00	1.42	1.40	0.27
060111A	04:23:06	276.193	37.600	1.0	13.200	12.00	0.58	1.71	0.15
060110	08:01:18	72.737	28.428	1.0	26.000	15.70	0.70	1.89	0.16
060109	16:54:41	282.735	32.011	3.0	115.400	6.55	1.03	0.47	0.12
060108	14:39:12	147.013	31.935	1.3	14.300	3.69	0.37	0.77	0.12
060105	06:49:27	297.485	46.356	1.0	54.400	176.00	3.04	7.44	0.36
060102	21:17:28	328.839	-1.837	2.6	19.000	2.34	0.50	0.38	0.12
051227	18:07:16	125.231	31.949	2.1	114.600	6.99	1.08	0.95	0.12
051221B	20:03:20	312.378	53.041	1.6	39.900	9.17	1.04	0.54	0.20
051221A	01:51:16	328.715	16.888	1.0	1.400	11.50	0.35	12.00	0.39
051213	07:13:04	252.084	-59.233	1.8	71.100	7.82	1.03	0.48	0.14
051210	05:46:21	330.192	-57.622	1.9	1.300	0.85	0.14	0.75	0.12
051117B	13:22:54	85.205	-19.286	2.4	9.000	1.77	0.37	0.49	0.14
051117A	10:51:20	228.398	30.868	1.0	136.300	43.40	1.55	0.95	0.16
051114	04:11:28	226.290	60.154	1.9	2.2	1.28	0.23	0.70	0.15
051113	15:22:35	187.242	-26.395	1.4	93.300	25.60	2.14	2.25	0.32
051111	05:59:41	348.136	18.367	1.0	46.100	40.80	1.34	2.66	0.21
051109B	08:39:39	345.469	38.663	2.0	14.300	2.56	0.41	0.55	0.13
051109A	01:12:21	330.316	40.850	1.9	37.200	22.00	2.72	3.94	0.69
051105A	06:26:41	265.279	34.916	2.6	0.093	0.22	0.04	0.32	0.12
051021B	23:31:54	126.059	-45.534	1.3	46.500	8.35	0.91	0.80	0.14
051016B	18:28:09	132.123	13.629	1.6	4.000	1.70	0.22	1.30	0.16
051016A	05:23:31	122.814	-18.299	2.0	23.000	8.37	1.38	1.39	0.38
051012	17:05:54	270.513	-52.799	2.2	13	3.04	0.42	0.53	0.13
#	051008	16:33:21	202.865	42.103	1.0	>32	50.90	1.45	5.44	0.35
051006	20:30:33	110.807	9.510	1.4	34.800	13.40	1.41	1.62	0.30
051001	11:11:36	350.984	-31.515	2.3	189.100	17.40	1.47	0.49	0.11
050925	09:04:34	303.490	34.329	1.4	0.070	0.76	0.09	10.00	1.19
050922C	19:55:50	317.383	-8.764	1.0	4.500	16.20	0.54	7.26	0.32
050922B	15:02:00	5.790	-5.607	2.6	150.900	22.30	3.56	1.01	0.36
050916	16:35:52	135.979	-51.406	2.9	49.500	9.29	1.27	0.65	0.23
050915B	21:23:04	219.109	-67.411	1.0	40.900	33.80	1.37	2.31	0.21
050915A	11:22:42	81.688	-28.014	1.4	52.000	8.50	0.88	0.77	0.14
050911	15:59:34	13.710	-38.856	2.4	16.200	3.17	0.58	1.33	0.20
050908	05:42:31	20.457	-12.950	1.5	19.400	4.83	0.51	0.70	0.14
#	050906	10:32:05	52.802	-14.621	3.3	0.258	0.06	0.02	n/a	n/a
050904	01:51:44	13.770	14.189	2.7	174.200	48.30	1.80	0.62	0.17
050827	18:57:15	64.294	18.219	1.0	50.000	21.00	1.21	1.84	0.20
050826	06:18:10	87.761	-2.658	2.0	35.500	4.13	0.72	0.38	0.13
050824	23:12:16	12.264	22.602	2.1	22.600	2.66	0.52	0.50	0.15
050822	03:49:29	51.106	-46.030	1.7	103.400	24.60	1.72	2.24	0.22
050820B	23:50:27	135.607	-72.640	1.0	12.000	20.60	0.58	3.95	0.18
050820A	06:34:53	337.416	19.560	1.1	26	34.40	2.42	2.45	0.23
050819	16:23:55	358.751	24.871	2.0	37.700	3.50	0.55	0.38	0.12
050815	17:25:19	293.584	9.139	1.9	2.900	0.79	0.15	0.55	0.12
050814	11:38:57	264.196	46.324	2.0	150.900	20.10	2.20	0.71	0.25
050813	06:45:10	242.001	11.244	2.8	0.450	0.44	0.11	0.94	0.23
050803	19:14:00	350.650	5.788	1.2	87.900	21.50	1.35	0.96	0.11
050802	10:08:02	219.283	27.799	1.3	19.000	20.00	1.57	2.75	0.44
050801	18:28:02	204.144	-21.930	1.5	19.400	3.10	0.48	1.46	0.14
050730	19:58:23	212.069	-3.754	1.3	156.500	23.80	1.52	0.55	0.14
050726	05:00:18	200.024	-32.064	1.8	49.900	19.40	2.12	1.38	0.38
050724	12:34:09	246.175	-27.526	1.9	96.000	9.98	1.20	3.26	0.30
050721	04:29:14	253.453	-28.386	1.9	98.400	36.20	3.16	2.24	0.46
050717	10:30:52	214.348	-50.541	1.0	85.000	63.10	1.75	6.23	0.31
050716	12:36:04	338.593	38.683	1.0	69.100	61.70	2.43	2.18	0.35
050715	22:30:26	155.641	-0.029	1.3	51.600	14.90	1.38	1.05	0.14
050714B	22:40:32	169.691	-15.547	2.4	46.700	5.95	1.05	0.52	0.22
050713B	12:07:18	307.821	60.936	2.1	54.200	31.80	3.18	1.60	0.50
050713A	04:29:02	320.585	77.072	1.0	124.700	51.10	2.12	4.67	0.33
050712	14:00:28	77.722	64.924	1.7	51.600	10.80	1.19	0.55	0.18
050701	11:42:59	227.241	-59.399	2.0	21.800	13.60	0.68	2.74	0.18
050607	09:11:23	300.180	9.139	1.3	26.400	5.92	0.55	0.95	0.14
050603	06:29:05	39.982	-25.175	1.1	12.400	63.60	2.29	21.50	1.07
050528	04:06:45	353.524	45.957	2.1	11.300	4.48	0.70	1.18	0.30
050525A	00:02:53	278.142	26.335	1.0	8.800	153.00	2.21	41.70	0.94
050509B	04:00:19	189.046	28.974	2.5	0.073	0.09	0.02	0.28	0.10
050509A	01:46:29	310.573	54.076	1.2	11.400	3.41	0.34	0.90	0.12
#	050507	22:43:18	48.063	-11.064	2.1	>15	1.67	0.32	0.29	0.13
050505	23:22:21	141.760	30.266	1.3	58.900	24.90	1.79	1.85	0.31
050502B	09:25:40	142.535	16.987	1.2	17.700	4.78	0.42	1.42	0.13
050422	07:52:40	324.507	55.788	1.8	59.300	6.07	0.74	0.57	0.11
050421	04:11:52	307.341	73.678	2.7	15.000	1.45	0.40	0.26	0.19
050418	11:00:35	44.334	-18.541	1.0	82.300	52.10	1.83	3.68	0.28
050416B	22:35:54	133.848	11.186	1.3	3.400	10.80	0.97	5.93	0.61
050416A	11:04:44	188.485	21.058	1.5	2.500	3.67	0.37	4.88	0.48
050412	05:44:03	181.099	-1.193	1.5	26.500	6.18	0.55	0.48	0.05
050410	12:14:34	89.757	79.605	1.1	42.500	41.50	2.25	1.80	0.36
050406	15:58:48	34.410	-50.180	2.5	5.400	0.68	0.14	0.36	0.10
050401	14:20:15	247.873	2.185	1.0	33.300	82.20	3.06	10.70	0.92
050326	09:53:56	6.871	-71.377	1.0	29.300	88.60	1.55	12.20	0.39
050319	09:31:18	154.172	43.581	2.4	152.500	13.10	1.48	1.52	0.21
050318	15:44:37	49.695	-46.386	1.0	32	10.80	0.77	3.16	0.20
050315	20:59:43	306.476	-42.591	1.1	95.600	32.20	1.46	1.93	0.22
050306	03:33:12	282.309	-9.152	1.0	158.300	115.00	4.34	3.58	0.48
050223	03:09:06	271.394	-62.465	1.5	22.500	6.36	0.65	0.69	0.16
050219B	21:05:51	81.306	-57.758	1.0	30.700	158.00	5.00	24.80	1.53
050219A	12:40:01	166.416	-40.681	1.0	23.700	41.10	1.58	3.53	0.35
050215B	02:33:43	174.463	40.797	1.6	8.100	2.27	0.29	0.67	0.12
050215A	02:15:29	348.403	49.328	2.6	87.300	7.08	1.08	0.49	0.13
050202	03:35:15	290.584	-38.730	2.3	0.270	0.30	0.06	0.55	0.17
050128	04:19:55	219.587	-34.765	1.1	19.200	50.20	2.29	7.42	0.73
050126	12:00:54	278.115	42.384	1.4	24.800	8.38	0.80	0.71	0.17
050124	11:30:03	192.877	13.039	1.0	4.000	11.90	0.66	5.46	0.38
050117	12:52:36	358.479	65.939	1.0	166.600	88.10	2.33	2.35	0.17
041228	10:49:14	336.642	5.032	1.0	55.400	34.90	1.52	1.61	0.25
041226	20:34:19	79.689	73.329	3.0	89.700	3.21	0.83	0.35	0.05
041224	20:20:58	56.192	-6.663	2.0	177.200	87.30	3.48	2.94	0.30
041223	14:06:18	100.204	-37.068	1.0	109.100	167.00	2.79	7.35	0.32
041220	22:58:27	291.288	60.598	1.0	5.600	3.83	0.28	1.81	0.14
041219C	20:30:34	343.926	-76.744	1.0	4.800	13.10	0.73	2.45	0.25
#	041219B	15:38:48	167.674	-33.458	7.0	30	n/a	n/a	n/a	n/a
#	041219A	01:42:18	6.154	62.847	7.0	520	1550	n/a	n/a	n/a
041217	07:28:25	164.793	-17.942	1.3	5.800	27.70	1.23	6.86	0.52
