GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
120722A	12:53:26	230.489	13.249	3.4	42.4	12	2	1.0	0.3	0.9586 (VLT: emission from host)
120714B	21:18:46	355.412	-46.196	2.6	159	12	1	0.4	0.1	0.3984 (VLT: absorption)
120712A	13:42:27	169.598	-20.051	1.0	14.7	18	1	2.4	0.2	4.000 (MPG/ESO: photo-z)|4.15 (Gemini-South: absorption)| 4.1745 (VLT: absorption)
#	120521C	23:22:07	214.288	42.144	1.0	26.7	11	1	1.9	0.2	~6.0 (Gemini-North: redshift estimate)
120521C	23:22:07	214.288	42.144	1.0	26.7	11	1	1.9	0.2	6.000 (Gemini-North: redshift estimate)
120422A	07:12:03	136.915	13.974	2.0	5.35	2.3	0.4	0.6	0.2	0.280 (Gemini-North: emission)|0.283 (VLT: emission)
120404A	12:51:02	235.002	12.883	1.2	38.7	16	1	1.2	0.2	2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption)
120327A	02:55:16	246.854	-29.415	1.1	62.9	36	1	3.9	0.2	2.810 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption)
120326A	01:20:29	273.906	69.248	1.0	69.6	26	3	4.6	0.2	1.798 (GTC: absorption)
120119A	04:04:30	120.029	-9.076	1.0	253.8	170	0	10.3	0.3	1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption)
120118B	17:00:21	124.862	-7.178	1.3	23.26	18	1	2.2	0.3	2.943 (Keck I: emission)
111229A	22:37:52	76.561	-84.687	2.7	25.4	3.4	0.7	1.0	0.2	1.3805 (Gemini-South: absorption)
