| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error | redshift |     GBM flux | GBM flux_error |    Epeak | Epeak_error |      alpha | alpha_error |      beta |   beta_error |      Luminosity | Luminosity_error |
|     90102 |     090102 | GRB090102122 |            2.929 |            2.925 |   8.55 |  8.547 |  33.107 |    33.1 |    27.0 |  26.624 |          0.81 |    1.547 | 2.964657e-06 |   1.164381e-07 | 378.2668 |    22.98033 | -0.2740737 |  0.07281825 | -7.321187 |     157.8212 |   4.53372288995 |    4.09204280827 |
|     81222 |     081222 | GRB081222204 |              4.9 |              4.9 |  1.517 |  1.513 | -34.095 |   -34.1 |    24.0 |   18.88 |         2.318 |      2.7 |  1.66787e-06 |   8.825765e-08 | 167.4924 |    19.22321 | -0.7350503 |  0.09339649 | -2.589271 |    0.3848182 |   10.3689159767 |    9.50020739369 |
|     81221 |     081221 | GRB081221681 |           16.353 |           16.353 |  1.053 |  1.053 | -24.542 |   -24.5 |    34.0 |  29.697 |          0.41 |     2.26 | 2.468543e-06 |   9.024168e-08 | 115.6503 |    4.717067 | -0.3420984 |  0.07409413 | -3.885949 |    0.7961366 |   10.0787497864 |    9.06946575162 |
|     81121 |     081121 | GRB081121858 |           20.592 |           20.591 |  5.952 |  5.953 | -60.612 |   -60.6 |    14.0 |  41.985 |          8.51 |    2.512 | 1.541919e-06 |   9.391022e-08 | 192.4424 |     66.2615 | -0.1947406 |   0.4440776 | -1.762847 |     0.100441 |   5.14852656327 |    4.75831101809 |
|     81008 |     081008 | GRB081008832 |           19.969 |           19.967 | 18.665 | 18.667 | -57.433 |   -57.4 |   185.5 | 150.015 |        12.892 |    1.968 | 3.352711e-07 |   6.391938e-08 | 173.2569 |    48.58861 | -0.6622945 |   0.3007005 | -12.30417 |     434886.5 |  0.980667679967 |    1.03357800963 |
|     80928 |     080928 | GRB080928628 |           15.026 |           15.082 |  6.337 |   6.34 | -55.176 |   -55.2 |   280.0 |  14.336 |         4.007 |    1.692 | 2.095947e-07 |   6.408317e-08 | 83.13947 |    33.11314 |  -1.138584 |   0.4486743 | -2.916776 |     2.519191 |  0.524580981106 |    0.61326222708 |
|     80916 |    080916A | GRB080916406 |            9.756 |            9.755 | 22.419 |  22.42 | -57.026 |   -57.0 |    60.0 |  46.337 |         7.173 |    0.689 | 8.416191e-07 |   9.741486e-08 | 241.1314 |    36.95835 | -0.4276115 |   0.1708976 | -4.830435 |     20.43674 |  0.172053546394 |   0.168449111894 |
|     80905 |    080905A | GRB080905499 |           11.982 |           11.982 | 19.178 |  19.18 | -18.865 |   -18.9 |     1.0 |    0.96 |         0.345 |    0.121 | 2.801938e-06 |   4.499353e-07 | 676.7375 |    274.7557 | -0.1658796 |   0.4490574 | -9.851741 |     13387.93 | 0.0101642765211 |  0.0104070357561 |
|     80810 |     080810 | GRB080810549 |            13.17 |            13.17 | 23.786 | 23.787 |    0.31 |    0.32 |   106.0 | 107.457 |        15.413 |     3.35 | 7.327225e-07 |   8.256937e-08 | 734.9279 |    488.7461 |  -1.179501 |   0.1348743 |  -2.42858 |     1.753877 |   7.21712212273 |    7.04385344078 |
|     80804 |     080804 | GRB080804972 |           23.337 |           23.337 | 21.912 | 21.913 | -53.189 |   -53.2 |    34.0 |  24.704 |          1.46 |    2.204 | 5.580875e-07 |   9.064421e-08 | 162.8082 |    32.11136 | -0.1886347 |   0.2838167 | -2.797097 |     1.141707 |   2.02938119292 |    2.08158274219 |
