|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] |        Luminosity |  Luminosity_error |
| GRB091126333 |   1.0040199397 |  0.296857531406 |           173.5585 |                 81.55933 | 1.07706642657e+52 | 4.39788066827e+51 |
| GRB091019750 |  1.33202318693 |  0.376880435406 |           164.2713 |                 59.17525 | 1.40932686689e+52 | 5.65396853814e+51 |
| GRB091018957 |  1.54902533525 |  0.459876364196 |           340.3727 |                 153.3334 | 3.87704514632e+52 | 2.05544942882e+52 |
| GRB091012783 |  1.52002504815 |  0.206507702897 |           1049.711 |                 223.7932 | 1.56364677248e+53 | 3.83394450132e+52 |
| GRB090819607 |  1.64902632526 |   0.48000087854 |           342.2708 |                 159.5208 | 3.62082174337e+52 | 2.04666721971e+52 |
| GRB090802235 | 0.826018177482 |  0.101580441313 |            301.263 |                 46.58572 |  2.2992036402e+52 | 2.91017791126e+51 |
| GRB090717111 |  2.84703818558 |  0.735688930805 |           722.2843 |                 280.2056 | 1.62904101013e+53 |  1.1965830117e+53 |
| GRB090621922 | 0.983019731797 |  0.311470382671 |           188.1228 |                 93.98742 | 1.13706173043e+52 | 4.88127799032e+51 |
| GRB090617208 | 0.972019622896 |  0.139161748225 |           492.6412 |                  104.369 | 3.90548982897e+52 | 7.17067828342e+51 |
| GRB090429753 |  11.7171259995 |   1.76790968062 |            1852.24 |                  689.391 | 2.00944572188e+54 | 4.30662679817e+54 |
| GRB090412061 |  3.24404211592 |   1.46142169195 |           576.9313 |                 441.2123 |  1.3956067651e+53 | 2.16564161366e+53 |
| GRB090331681 |  3.09204061111 |  0.988495781474 |           921.3348 |                 554.2334 | 2.38816934995e+53 | 2.71622835547e+53 |
| GRB090328713 |  2.13103109711 |  0.499587632041 |           1203.962 |                 525.4483 | 1.93965575029e+53 | 1.19323138413e+53 |
| GRB090308734 |  2.45103426514 |  0.640119819519 |           1035.198 |                 501.1376 | 1.86037235672e+53 | 1.41718427364e+53 |
| GRB090305052 |  1.64002623616 |  0.442657308651 |           443.8923 |                 197.5876 | 4.40110180385e+52 | 2.34724112429e+52 |
| GRB090228204 | 0.523015177752 | 0.0215329755503 |           854.3635 |                 49.34895 | 6.46159122028e+52 | 2.33260380919e+51 |
| GRB090227772 | 0.783017751778 | 0.0263669336857 |           2029.799 |                 92.37897 | 2.14135035545e+53 | 7.58973522537e+51 |
| GRB090219074 | 0.516015108451 |  0.224603121054 |           70.20864 |                 46.75648 | 2.45536828972e+51 |  9.9903199572e+50 |
| GRB090120627 |  10.9391182972 |   3.05589169428 |           2541.313 |                 1546.245 | 2.56477688395e+54 | 8.72585640255e+54 |
| GRB090108020 | 0.792017840878 | 0.0907887179739 |           145.8965 |                 15.63359 | 9.24085923153e+51 | 8.61555794042e+50 |
| GRB081230871 |  2.27203249302 |             0.0 |           246.7687 |                      0.0 | 3.60983371606e+52 |               0.0 |
| GRB081229187 |  1.41702402844 |  0.512628795699 |           188.6971 |                 106.6297 | 1.43478660079e+52 | 8.88502546961e+51 |
| GRB081226509 |  1.48302468185 |  0.330966634953 |           284.8657 |                 88.83046 | 3.02365939781e+52 | 1.10170941921e+52 |
| GRB081223419 |  1.16102149401 |  0.172586605421 |            199.671 |                 37.60102 | 1.70728328347e+52 | 3.26182007551e+51 |
