| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error |    Epeak | Epeak_error |       alpha | alpha_error |      beta |   beta_error |
|    141031 |    141031A | GRB141031304 |            7.307 |            7.306 |  8.575 |  8.574 |  -59.16 | -59.168 |   920.0 |  19.456 |         2.896 | 5.542959e-07 |   7.068125e-08 | 311.6536 |    245.1205 |  -0.9523979 |    0.273211 | -1.852936 |    0.4139838 |
|    141022 |    141022A | GRB141022061 |            1.462 |            1.463 | 16.129 | 16.127 | -72.152 | -72.129 |    8.72 |   11.52 |         3.083 | 1.624549e-07 |   5.803527e-08 | 165.7113 |     88.3213 |  -0.6420089 |   0.6769508 | -10.90577 |     180629.4 |
|    141005 |    141005A | GRB141005217 |            5.218 |            5.219 | 19.407 | 19.406 |  36.098 |  36.095 |    4.34 |   3.392 |         0.264 | 1.025034e-06 |   1.030496e-07 | 173.2405 |    13.19222 |  0.05071613 |   0.1852086 | -6.414002 |     37.77224 |
|    141004 |    141004A | GRB141004973 |           23.348 |           23.348 |  5.115 |  5.117 |  12.828 |  12.824 |    3.92 |    2.56 |         0.607 | 9.200621e-07 |   6.785987e-08 | 31.42726 |    10.46519 |    0.430436 |    1.472029 | -1.876706 |   0.07295307 |
|    140919 |    140919A | GRB140919636 |           15.254 |           15.254 | 14.769 | 14.769 | -32.153 | -33.176 |   151.3 | 108.546 |         1.619 | 7.759738e-07 |   1.014501e-07 | 417.7998 |    104.0892 |   -0.550182 |   0.1982727 | -5.295549 |     83.09267 |
|    140907 |    140907A | GRB140907672 |           16.119 |            16.12 |  3.209 |   3.21 |  46.596 |  46.595 |    79.2 |  35.841 |         5.473 | 3.966677e-07 |   5.942691e-08 | 100.9105 |    20.21665 |  -0.5107521 |   0.3207389 | -2.697765 |    0.7343317 |
|    140828 |    140828A | GRB140828288 |            6.904 |            6.903 |  9.469 |  9.467 |  14.569 |   14.59 |    18.8 |  23.552 |         7.799 | 3.641089e-07 |   7.668147e-08 | 218.8125 |    112.3278 |   -1.241574 |   0.2146828 | -16.21247 |  105563200.0 |
|    140818 |    140818B | GRB140818781 |           18.738 |           18.738 | 18.078 | 18.077 |  -1.354 |  -1.361 |    18.1 |  20.992 |         6.527 | 1.719543e-07 |   5.259485e-08 |  172.221 |    84.36702 |  -0.7669584 |   0.5202358 |  -9.01909 |     22924.23 |
|    140817 |    140817A | GRB140817293 |            7.034 |            7.033 |  8.483 |  8.484 |  58.191 |   58.19 |   244.0 |  16.128 |         4.382 | 1.155916e-06 |   9.405661e-08 | 132.4248 |    21.01105 |  -0.4643282 |   0.2413699 |  -2.67226 |    0.4523814 |
|    140716 |    140716A | GRB140716436 |           10.466 |           10.466 |  7.209 |  7.212 |  -60.15 | -60.176 |   104.0 | 168.253 |        53.762 | 1.338333e-06 |   1.206982e-07 | 112.1985 |    35.56934 |  -0.8443788 |   0.3243378 | -2.224287 |    0.2607438 |
