|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] |        Luminosity |  Luminosity_error |
| 140305A |  2.91103881919 |  0.0805982953357 |      179.759184996 |                      0.0 | 3.09994085891e+52 |  7.8512538831e+50 |
| 140215A | 0.718017108271 |  0.0168772118328 |      107.526293089 |                      0.0 | 5.99520188296e+51 | 7.23817221985e+49 |
| 140211A |  2.93703907659 |   0.115381806717 |      136.325916865 |                      0.0 | 2.22460849882e+52 | 8.01259302611e+50 |
| 140129A |  1.27602263253 |  0.0624419293202 |      46.0817702569 |                      0.0 | 2.99345160255e+51 | 1.00930833768e+50 |
| 140118A |  1.47702462245 |  0.0482669428883 |      106.544207125 |                      0.0 | 9.29593487665e+51 | 2.22620126066e+50 |
| 140103A |   1.0330202268 |   0.035131907618 |      65.7674957499 |                      0.0 | 4.02846755286e+51 | 8.55562587846e+49 |
| 131226A |  1.46502450365 |  0.0117044503326 |       419.36704382 |                      0.0 |  4.9794318801e+52 |  2.9057715055e+50 |
| 131205A |  3.23004197732 |  0.0686279134187 |      139.121807077 |                      0.0 |  2.4910101335e+52 | 4.96687802278e+50 |
| 131127A |  3.45404419494 |  0.0640074911362 |      289.220490553 |                      0.0 | 6.52583988892e+52 | 1.15256275123e+51 |
| 131120A |  4.49605451085 |   0.168247631951 |      199.878969698 |                      0.0 | 5.36535719873e+52 | 2.01859155576e+51 |
| 131024B |  9.89110792188 |   0.305346811191 |      199.042024946 |                      0.0 | 1.23701732338e+53 | 4.26234885362e+51 |
| 131024A |  2.85003821528 |   0.133637507375 |      65.3250074494 |                      0.0 | 8.76560439229e+51 | 3.73935825458e+50 |
| 131018A |  2.38803364144 |  0.0760537094372 |      75.5204062028 |                      0.0 | 8.95075636784e+51 | 2.46935941578e+50 |
| 131002B |  7.40208328053 |  0.0613704875387 |      517.688134786 |                      0.0 | 2.91141730777e+53 | 2.61353869135e+51 |
| 131002A |  4.80305755018 |  0.0321826864099 |      482.329903057 |                      0.0 | 1.69359008794e+53 | 1.15431835635e+51 |
